time,observed,fitted,breakpoint_year,breakpoint_detected
1979-03-01,0.6886290322580644,0.6738109235124178,2016,2015.802793526577
1980-03-01,0.6846673387096776,0.6669196065508033,2016,2015.802793526577
1981-03-01,0.6066859879032257,0.6600282895891888,2016,2015.802793526577
1982-03-01,0.7327419354838709,0.6531369726275744,2016,2015.802793526577
1983-03-01,0.5795967741935484,0.6462456556659599,2016,2015.802793526577
1984-03-01,0.46479838709677423,0.6393543387043454,2016,2015.802793526577
1985-03-01,0.6249697580645162,0.632463021742731,2016,2015.802793526577
1986-03-01,0.7414415322580645,0.6255717047811165,2016,2015.802793526577
1987-03-01,0.7139616935483871,0.6186803878195021,2016,2015.802793526577
1988-03-01,0.7394758064516129,0.6117890708578876,2016,2015.802793526577
1989-03-01,0.7168548387096775,0.6048977538962731,2016,2015.802793526577
1990-03-01,0.5786088709677419,0.5980064369346586,2016,2015.802793526577
1991-03-01,0.5938508064516128,0.5911151199730441,2016,2015.802793526577
1992-03-01,0.5848991935483872,0.5842238030114297,2016,2015.802793526577
1993-03-01,0.4859677419354838,0.5773324860498152,2016,2015.802793526577
1994-03-01,0.45233870967741935,0.5704411690882008,2016,2015.802793526577
1995-03-01,0.4515524193548388,0.5635498521265863,2016,2015.802793526577
1996-03-01,0.5886895161290323,0.5566585351649718,2016,2015.802793526577
1997-03-01,0.6827822580645162,0.5497672182033573,2016,2015.802793526577
1998-03-01,0.5187903225806452,0.5428759012417429,2016,2015.802793526577
1999-03-01,0.3903024193548387,0.5359845842801284,2016,2015.802793526577
2000-03-01,0.423366935483871,0.5290932673185139,2016,2015.802793526577
2001-03-01,0.6149596774193548,0.5222019503568994,2016,2015.802793526577
2002-03-01,0.5175201612903224,0.515310633395285,2016,2015.802793526577
2003-03-01,0.5323387096774194,0.5084193164336706,2016,2015.802793526577
2004-03-01,0.5741935483870967,0.5015279994720561,2016,2015.802793526577
2005-03-01,0.512842741935484,0.49463668251044157,2016,2015.802793526577
2006-03-01,0.44665322580645167,0.4877453655488271,2016,2015.802793526577
2007-03-01,0.4305241935483871,0.48085404858721265,2016,2015.802793526577
2008-03-01,0.420383064516129,0.4739627316255982,2016,2015.802793526577
2009-03-01,0.49824596774193547,0.4670714146639837,2016,2015.802793526577
2010-03-01,0.49798387096774194,0.46018009770236923,2016,2015.802793526577
2011-03-01,0.45383064516129035,0.45328878074075474,2016,2015.802793526577
2012-03-01,0.4248387096774194,0.4463974637791403,2016,2015.802793526577
2013-03-01,0.4900604838709677,0.43950614681752587,2016,2015.802793526577
2014-03-01,0.44141129032258064,0.4326148298559114,2016,2015.802793526577
2015-03-01,0.44052419354838707,0.4257235128942969,2016,2015.802793526577
2016-03-01,0.407641129032258,0.4222058782853849,2016,2015.802793526577
2017-03-01,0.5010282258064517,0.43242192242680416,2016,2015.802793526577
2018-03-01,0.3731854838709678,0.4426379665682234,2016,2015.802793526577
2019-03-01,0.44118951612903223,0.4528540107096427,2016,2015.802793526577
2020-03-01,0.5008870967741935,0.4630700548510619,2016,2015.802793526577
2021-03-01,0.4497983870967742,0.47328609899248114,2016,2015.802793526577
2022-03-01,0.45649193548387096,0.48350214313390044,2016,2015.802793526577
2023-03-01,0.5471874999999999,0.4937181872753197,2016,2015.802793526577
2024-03-01,0.5222379032258064,0.503934231416739,2016,2015.802793526577
2025-03-01,0.4822379032258065,0.5141502755581582,2016,2015.802793526577
