time,observed,ssa_trend
1979-03-01,0.6886290322580644,0.7222595777729443
1980-03-01,0.6846673387096776,0.7233984469246453
1981-03-01,0.6066859879032257,0.6926072183205544
1982-03-01,0.7327419354838709,0.6497385730394767
1983-03-01,0.5795967741935484,0.6113859856314524
1984-03-01,0.46479838709677423,0.6023897030141356
1985-03-01,0.6249697580645162,0.6254397305556526
1986-03-01,0.7414415322580645,0.6563655278552499
1987-03-01,0.7139616935483871,0.6742364042700223
1988-03-01,0.7394758064516129,0.6726184965013933
1989-03-01,0.7168548387096775,0.6536380315782144
1990-03-01,0.5786088709677419,0.6186547740027423
1991-03-01,0.5938508064516128,0.5803598509179897
1992-03-01,0.5848991935483872,0.5482950483925345
1993-03-01,0.4859677419354838,0.5307896678535091
1994-03-01,0.45233870967741935,0.5322566865530044
1995-03-01,0.4515524193548388,0.5476214747305861
1996-03-01,0.5886895161290323,0.562872345822045
1997-03-01,0.6827822580645162,0.5587450964674677
1998-03-01,0.5187903225806452,0.5304633636685236
1999-03-01,0.3903024193548387,0.49887550410208126
2000-03-01,0.423366935483871,0.4879572820165649
2001-03-01,0.6149596774193548,0.5010206017618929
2002-03-01,0.5175201612903224,0.5210354446466503
2003-03-01,0.5323387096774194,0.5322581469957537
2004-03-01,0.5741935483870967,0.5242028511976735
2005-03-01,0.512842741935484,0.49905054196274934
2006-03-01,0.44665322580645167,0.4720137223402954
2007-03-01,0.4305241935483871,0.45772225823831164
2008-03-01,0.420383064516129,0.46076541054443987
2009-03-01,0.49824596774193547,0.4702786935856687
2010-03-01,0.49798387096774194,0.47419023468054416
2011-03-01,0.45383064516129035,0.4702031812118359
2012-03-01,0.4248387096774194,0.4631227179730746
2013-03-01,0.4900604838709677,0.4560518884915698
2014-03-01,0.44141129032258064,0.4513744830786817
2015-03-01,0.44052419354838707,0.4504756423681038
2016-03-01,0.407641129032258,0.4505504004436963
2017-03-01,0.5010282258064517,0.44517050285472
2018-03-01,0.3731854838709678,0.43928685360565356
2019-03-01,0.44118951612903223,0.4384690315016337
2020-03-01,0.5008870967741935,0.4441961948027453
2021-03-01,0.4497983870967742,0.45393703074323377
2022-03-01,0.45649193548387096,0.4632893497473241
2023-03-01,0.5471874999999999,0.4680022307586813
2024-03-01,0.5222379032258064,0.46758657800504105
2025-03-01,0.4822379032258065,0.4623197607441185
