time,observed,fitted,breakpoint_year,breakpoint_detected
1979-03-01,16.374596774193545,16.126886552260903,2017,2017.0000000142024
1980-03-01,16.075665322580644,16.08572905265977,2017,2017.0000000142024
1981-03-01,15.678213205645159,16.044571553058635,2017,2017.0000000142024
1982-03-01,16.155756048387094,16.0034140534575,2017,2017.0000000142024
1983-03-01,16.13115927419355,15.962256553856369,2017,2017.0000000142024
1984-03-01,15.65165322580645,15.921099054255235,2017,2017.0000000142024
1985-03-01,15.930292338709679,15.879941554654101,2017,2017.0000000142024
1986-03-01,15.923800403225805,15.838784055052969,2017,2017.0000000142024
1987-03-01,15.767469758064514,15.797626555451835,2017,2017.0000000142024
1988-03-01,16.018225806451614,15.756469055850701,2017,2017.0000000142024
1989-03-01,15.485665322580644,15.715311556249567,2017,2017.0000000142024
1990-03-01,15.923729838709678,15.674154056648433,2017,2017.0000000142024
1991-03-01,15.374556451612902,15.632996557047301,2017,2017.0000000142024
1992-03-01,15.49425403225806,15.591839057446167,2017,2017.0000000142024
1993-03-01,15.726955645161292,15.550681557845033,2017,2017.0000000142024
1994-03-01,15.492681451612903,15.5095240582439,2017,2017.0000000142024
1995-03-01,15.199516129032252,15.468366558642767,2017,2017.0000000142024
1996-03-01,15.072661290322579,15.427209059041633,2017,2017.0000000142024
1997-03-01,15.4991935483871,15.3860515594405,2017,2017.0000000142024
1998-03-01,15.587520161290321,15.344894059839365,2017,2017.0000000142024
1999-03-01,15.359495967741939,15.303736560238232,2017,2017.0000000142024
2000-03-01,15.206592741935484,15.2625790606371,2017,2017.0000000142024
2001-03-01,15.503911290322582,15.221421561035966,2017,2017.0000000142024
2002-03-01,15.320584677419351,15.180264061434832,2017,2017.0000000142024
2003-03-01,15.504959677419354,15.139106561833698,2017,2017.0000000142024
2004-03-01,14.986834677419354,15.097949062232566,2017,2017.0000000142024
2005-03-01,14.632862903225808,15.056791562631432,2017,2017.0000000142024
2006-03-01,14.384939516129029,15.015634063030298,2017,2017.0000000142024
2007-03-01,14.577943548387097,14.974476563429164,2017,2017.0000000142024
2008-03-01,15.209798387096775,14.933319063828032,2017,2017.0000000142024
2009-03-01,15.053629032258064,14.892161564226898,2017,2017.0000000142024
2010-03-01,15.178286290322582,14.851004064625764,2017,2017.0000000142024
2011-03-01,14.59141129032258,14.80984656502463,2017,2017.0000000142024
2012-03-01,15.275020161290326,14.768689065423498,2017,2017.0000000142024
2013-03-01,14.988044354838712,14.727531565822364,2017,2017.0000000142024
2014-03-01,14.837318548387097,14.68637406622123,2017,2017.0000000142024
2015-03-01,14.386754032258063,14.645216566620096,2017,2017.0000000142024
2016-03-01,14.497379032258062,14.604059067018962,2017,2017.0000000142024
2017-03-01,14.363790322580645,14.56290156741783,2017,2017.0000000142024
2018-03-01,14.306048387096775,14.561137153729614,2017,2017.0000000142024
2019-03-01,14.587338709677418,14.559372740600875,2017,2017.0000000142024
2020-03-01,14.769274193548386,14.557608327472137,2017,2017.0000000142024
2021-03-01,14.670161290322579,14.5558439143434,2017,2017.0000000142024
2022-03-01,14.633689516129031,14.55407950121466,2017,2017.0000000142024
2023-03-01,14.423387096774194,14.552315088085923,2017,2017.0000000142024
2024-03-01,14.893770161290321,14.550550674957185,2017,2017.0000000142024
2025-03-01,14.183770161290322,14.548786261828445,2017,2017.0000000142024
