time,observed,ssa_trend
1979-03-01,16.374596774193545,16.14170359305769
1980-03-01,16.075665322580644,16.061424142432745
1981-03-01,15.678213205645159,16.013099346907396
1982-03-01,16.155756048387094,15.980797095479481
1983-03-01,16.13115927419355,15.949797926000938
1984-03-01,15.65165322580645,15.922145128655762
1985-03-01,15.930292338709679,15.899197783057339
1986-03-01,15.923800403225805,15.866564316038275
1987-03-01,15.767469758064514,15.826393604922261
1988-03-01,16.018225806451614,15.782821589223193
1989-03-01,15.485665322580644,15.728844473173135
1990-03-01,15.923729838709678,15.675014638765724
1991-03-01,15.374556451612902,15.609479094218239
1992-03-01,15.49425403225806,15.546793959763903
1993-03-01,15.726955645161292,15.489641002192194
1994-03-01,15.492681451612903,15.436825549372674
1995-03-01,15.199516129032252,15.39018513593965
1996-03-01,15.072661290322579,15.364388258439247
1997-03-01,15.4991935483871,15.364971007510999
1998-03-01,15.587520161290321,15.376417971054206
1999-03-01,15.359495967741939,15.3894178381005
2000-03-01,15.206592741935484,15.38377126195889
2001-03-01,15.503911290322582,15.350134820763817
2002-03-01,15.320584677419351,15.262800054679058
2003-03-01,15.504959677419354,15.139726093020798
2004-03-01,14.986834677419354,14.99893007382588
2005-03-01,14.632862903225808,14.881175980861542
2006-03-01,14.384939516129029,14.815457226832212
2007-03-01,14.577943548387097,14.817458255771802
2008-03-01,15.209798387096775,14.871878135793436
2009-03-01,15.053629032258064,14.935939247980691
2010-03-01,15.178286290322582,14.98232719772688
2011-03-01,14.59141129032258,14.984363741585396
2012-03-01,15.275020161290326,14.945634429477638
2013-03-01,14.988044354838712,14.852590019136578
2014-03-01,14.837318548387097,14.733396513334164
2015-03-01,14.386754032258063,14.621481885781625
2016-03-01,14.497379032258062,14.54075891773604
2017-03-01,14.363790322580645,14.481718369859445
2018-03-01,14.306048387096775,14.466203029620104
2019-03-01,14.587338709677418,14.498212199541081
2020-03-01,14.769274193548386,14.553056934384683
2021-03-01,14.670161290322579,14.607470876157674
2022-03-01,14.633689516129031,14.630046162173091
2023-03-01,14.423387096774194,14.617598862382613
2024-03-01,14.893770161290321,14.582899369209724
2025-03-01,14.183770161290322,14.496093668214025
